roomID,seatName,rows,columns,status,Section
5,A1,A,1,100,0
5,A2,A,2,100,0
5,A3,A,3,100,0
5,A4,A,4,100,0
5,A5,A,5,100,0
5,A6,A,6,100,0
5,A7,A,7,100,0
5,A8,A,8,100,0
5,A9,A,9,100,0
5,A10,A,10,100,0
5,B1,B,1,100,0
5,B2,B,2,100,0
5,B3,B,3,100,0
5,B4,B,4,100,0
5,B5,B,5,100,0
5,B6,B,6,100,0
5,B7,B,7,100,0
5,B8,B,8,100,0
5,B9,B,9,100,0
5,B10,B,10,100,0
5,C1,C,1,100,0
5,C2,C,2,100,0
5,C3,C,3,100,0
5,C4,C,4,100,0
5,C5,C,5,100,0
5,C6,C,6,100,0
5,C7,C,7,100,0
5,C8,C,8,100,0
5,C9,C,9,100,0
5,C10,C,10,100,0
5,D1,D,1,100,0
5,D2,D,2,100,0
5,D3,D,3,100,0
5,D4,D,4,100,0
5,D5,D,5,100,0
5,D6,D,6,100,0
5,D7,D,7,100,0
5,D8,D,8,100,0
5,D9,D,9,100,0
5,D10,D,10,100,0
5,E1,E,1,100,0
5,E2,E,2,100,0
5,E3,E,3,100,0
5,E4,E,4,100,0
5,E5,E,5,100,0
5,E6,E,6,100,0
5,E7,E,7,100,0
5,E8,E,8,100,0
5,E9,E,9,100,0
5,E10,E,10,100,0
5,F1,F,1,100,0
5,F2,F,2,100,0
5,F3,F,3,100,0
5,F4,F,4,100,0
5,F5,F,5,100,0
5,F6,F,6,100,0
5,F7,F,7,100,0
5,F8,F,8,100,0
5,F9,F,9,100,0
5,F10,F,10,100,0
5,G1,G,1,100,0
5,G2,G,2,100,0
5,G3,G,3,100,0
5,G4,G,4,100,0
5,G5,G,5,100,0
5,G6,G,6,100,0
5,G7,G,7,100,0
5,G8,G,8,100,0
5,G9,G,9,100,0
5,G10,G,10,100,0
5,H1,H,1,100,0
5,H2,H,2,100,0
5,H3,H,3,100,0
5,H4,H,4,100,0
5,H5,H,5,100,0
5,H6,H,6,100,0
5,H7,H,7,100,0
5,H8,H,8,100,0
5,H9,H,9,100,0
5,H10,H,10,100,0
5,I1,I,1,100,0
5,I2,I,2,100,0
5,I3,I,3,100,0
5,I4,I,4,100,0
5,I5,I,5,100,0
5,I6,I,6,100,0
5,I7,I,7,100,0
5,I8,I,8,100,0
5,I9,I,9,100,0
5,I10,I,10,100,0
5,J1,J,1,100,0
5,J2,J,2,100,0
5,J3,J,3,100,0
5,J4,J,4,100,0
5,J5,J,5,100,0
5,J6,J,6,100,0
5,J7,J,7,100,0
5,J8,J,8,100,0
5,J9,J,9,100,0
5,J10,J,10,100,0
