"roomID","seatName","rows","columns","status","Section"
"1","A1","1","1","0","0"
"1","A2","1","2","0","0"
"1","A3","1","3","0","0"
"1","A4","1","4","0","0"
"1","A5","1","5","0","0"
"1","A6","1","6","0","0"
"1","A7","1","7","0","0"
"1","A8","1","8","0","0"
"1","A9","1","9","0","0"
"1","A10","1","10","0","0"
"1","B1","2","1","0","0"
"1","B2","2","2","0","0"
"1","B3","2","3","0","0"
"1","B4","2","4","0","0"
"1","B5","2","5","0","0"
"1","B6","2","6","100","0"
"1","B7","2","7","100","0"
"1","B8","2","8","100","0"
"1","B9","2","9","100","0"
"1","B10","2","10","100","0"
"1","C1","3","1","0","0"
"1","C2","3","2","0","0"
"1","C3","3","3","0","0"
"1","C4","3","4","0","0"
"1","C5","3","5","0","0"
"1","C6","3","6","100","0"
"1","C7","3","7","100","0"
"1","C8","3","8","100","0"
"1","C9","3","9","100","0"
"1","C10","3","10","100","0"
"1","D1","4","1","0","0"
"1","D2","4","2","0","0"
"1","D3","4","3","0","0"
"1","D4","4","4","0","0"
"1","D5","4","5","0","0"
"1","D6","4","6","100","0"
"1","D7","4","7","100","0"
"1","D8","4","8","100","0"
"1","D9","4","9","100","0"
"1","D10","4","10","100","0"
"1","E1","5","1","0","0"
"1","E2","5","2","0","0"
"1","E3","5","3","0","0"
"1","E4","5","4","0","0"
"1","E5","5","5","0","0"
"1","E6","5","6","100","0"
"1","E7","5","7","100","0"
"1","E8","5","8","100","0"
"1","E9","5","9","100","0"
"1","E10","5","10","100","0"
"1","F1","6","1","100","0"
"1","F2","6","2","100","0"
"1","F3","6","3","100","0"
"1","F4","6","4","100","0"
"1","F5","6","5","100","0"
"1","F6","6","6","100","0"
"1","F7","6","7","100","0"
"1","F8","6","8","100","0"
"1","F9","6","9","100","0"
"1","F10","6","10","100","0"
"1","G1","7","1","100","0"
"1","G2","7","2","100","0"
"1","G3","7","3","100","0"
"1","G4","7","4","100","0"
"1","G5","7","5","100","0"
"1","G6","7","6","100","0"
"1","G7","7","7","100","0"
"1","G8","7","8","100","0"
"1","G9","7","9","100","0"
"1","G10","7","10","100","0"
"1","H1","8","1","100","0"
"1","H2","8","2","100","0"
"1","H3","8","3","100","0"
"1","H4","8","4","100","0"
"1","H5","8","5","100","0"
"1","H6","8","6","100","0"
"1","H7","8","7","100","0"
"1","H8","8","8","100","0"
"1","H9","8","9","100","0"
"1","H10","8","10","100","0"
"1","I1","9","1","100","0"
"1","I2","9","2","100","0"
"1","I3","9","3","100","0"
"1","I4","9","4","100","0"
"1","I5","9","5","100","0"
"1","I6","9","6","100","0"
"1","I7","9","7","100","0"
"1","I8","9","8","100","0"
"1","I9","9","9","100","0"
"1","I10","9","10","100","0"
"1","J1","10","1","100","0"
"1","J2","10","2","100","0"
"1","J3","10","3","100","0"
"1","J4","10","4","100","0"
"1","J5","10","5","100","0"
"1","J6","10","6","100","0"
"1","J7","10","7","100","0"
"1","J8","10","8","100","0"
"1","J9","10","9","100","0"
"1","J10","10","10","100","0"
