roomID,seatName,rows,columns,status,Section
4,A1,1,1,100,0
4,A2,1,2,100,0
4,A3,1,3,100,0
4,A4,1,4,100,0
4,A5,1,5,100,0
4,A6,1,6,100,0
4,A7,1,7,100,0
4,A8,1,8,100,0
4,A9,1,9,100,0
4,A10,1,10,100,0
4,B1,2,1,100,0
4,B2,2,2,100,0
4,B3,2,3,100,0
4,B4,2,4,100,0
4,B5,2,5,100,0
4,B6,2,6,100,0
4,B7,2,7,100,0
4,B8,2,8,100,0
4,B9,2,9,100,0
4,B10,2,10,100,0
4,C1,3,1,100,0
4,C2,3,2,100,0
4,C3,3,3,100,0
4,C4,3,4,100,0
4,C5,3,5,100,0
4,C6,3,6,100,0
4,C7,3,7,100,0
4,C8,3,8,100,0
4,C9,3,9,100,0
4,C10,3,10,100,0
4,D1,4,1,100,0
4,D2,4,2,100,0
4,D3,4,3,100,0
4,D4,4,4,100,0
4,D5,4,5,100,0
4,D6,4,6,100,0
4,D7,4,7,100,0
4,D8,4,8,100,0
4,D9,4,9,100,0
4,D10,4,10,100,0
4,E1,5,1,100,0
4,E2,5,2,100,0
4,E3,5,3,100,0
4,E4,5,4,100,0
4,E5,5,5,100,0
4,E6,5,6,100,0
4,E7,5,7,100,0
4,E8,5,8,100,0
4,E9,5,9,100,0
4,E10,5,10,100,0
4,F1,6,1,100,0
4,F2,6,2,100,0
4,F3,6,3,100,0
4,F4,6,4,100,0
4,F5,6,5,100,0
4,F6,6,6,100,0
4,F7,6,7,100,0
4,F8,6,8,100,0
4,F9,6,9,100,0
4,F10,6,10,100,0
4,G1,7,1,100,0
4,G2,7,2,100,0
4,G3,7,3,100,0
4,G4,7,4,100,0
4,G5,7,5,100,0
4,G6,7,6,100,0
4,G7,7,7,100,0
4,G8,7,8,100,0
4,G9,7,9,100,0
4,G10,7,10,100,0
4,H1,8,1,100,0
4,H2,8,2,100,0
4,H3,8,3,100,0
4,H4,8,4,100,0
4,H5,8,5,100,0
4,H6,8,6,100,0
4,H7,8,7,100,0
4,H8,8,8,100,0
4,H9,8,9,100,0
4,H10,8,10,100,0
4,I1,9,1,100,0
4,I2,9,2,100,0
4,I3,9,3,100,0
4,I4,9,4,100,0
4,I5,9,5,100,0
4,I6,9,6,100,0
4,I7,9,7,100,0
4,I8,9,8,100,0
4,I9,9,9,100,0
4,I10,9,10,100,0
4,J1,10,1,100,0
4,J2,10,2,100,0
4,J3,10,3,100,0
4,J4,10,4,100,0
4,J5,10,5,100,0
4,J6,10,6,100,0
4,J7,10,7,100,0
4,J8,10,8,100,0
4,J9,10,9,100,0
4,J10,10,10,100,0
